alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 222
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_Maze-ActorCriticPendulum/run_769851943476400
Random seed:          222
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
58	913472436259203	45039	3	(489:132[0.24000000000000005],523:152[0.25000000000000006],552:219[0.12999999999999998],)	503	2522.0568435834243	1041.225546168289	-14693.48396257783	13	9.022	13	8	(0.0800319090479103,0.08583513809879462,0.07088651814552958,)
59	914984202142559	45539	3	(489:103[0.25000000000000006],523:96[0.26000000000000006],552:304[0.11999999999999998],)	503	2539.4097042375543	1462.349336715142	-14685.534334011809	10	9.316	14	8	(0.09819551166269355,0.06758127018150203,0.055914217427528445,)
60	916559581726200	46039	3	(489:253[0.26000000000000006],523:67[0.2700000000000001],552:183[0.10999999999999999],)	503	2539.4097042375543	1295.4906138627	-14690.478673092552	10	9.54	13	8	(0.09599458385595441,0.08517632410049515,0.07502046732272491,)
61	918115782992205	46539	3	(489:126[0.25000000000000006],523:189[0.2800000000000001],552:188[0.09999999999999999],)	503	2539.4097042375543	836.9975088150745	-14687.90419811864	10	9.352	14	8	(0.11425330493085396,0.06495535088023233,0.05290544530162018,)
62	919640382187787	47039	3	(489:194[0.26000000000000006],523:120[0.2700000000000001],552:189[0.09],)	503	2539.4097042375543	935.6320625637985	-14688.249882136035	10	9.172	13	8	(0.09638127484971731,0.08115595471866018,0.050633361231862725,)
63	921165347936244	47539	3	(489:402[0.25000000000000006],523:52[0.2800000000000001],552:49[0.08],)	503	2539.4097042375543	1042.9305996082655	-14690.309267303626	10	9.234	13	8	(0.09078762754410284,0.0958453682390142,0.054960903689046936,)
64	922657159952266	48039	3	(489:104[0.24000000000000005],523:230[0.2900000000000001],552:169[0.09],)	503	2539.4097042375543	1445.9249767118174	-14687.961131892025	10	9.23	14	8	(0.08501749853940017,0.10139267968028852,0.056798864234603556,)
65	924219258109489	48547	3	(489:146[0.25000000000000006],523:161[0.2800000000000001],552:196[0.08],)	503	2479.4773328363954	980.6854112957416	-14692.946336282788	8	9.258	14	8	(0.13474164897075946,0.0849351469689066,0.04795338453726154,)
66	925753527475700	49047	3	(489:104[0.26000000000000006],523:294[0.2900000000000001],552:105[0.07],)	503	2504.806138294125	1205.9393883862672	-14693.328133962807	9	9.368	14	8	(0.12321140388269344,0.10949440200683684,0.05631263756679532,)
67	927317100435164	49547	3	(489:152[0.2700000000000001],523:130[0.2800000000000001],552:221[0.08],)	503	2504.806138294125	1086.5907849376229	-14693.333180578771	9	9.406	15	8	(0.10645503882570126,0.08873855977390105,0.052203057624065435,)
68	928898142762359	50047	3	(489:125[0.2800000000000001],523:310[0.2900000000000001],552:68[0.07],)	503	2504.806138294125	1231.5148338404003	-14781.611796475176	9	9.562	15	8	(0.1081088460472298,0.10503935780174618,0.052471279379975706,)
69	930425621498130	50547	3	(489:47[0.2900000000000001],523:190[0.2800000000000001],552:266[0.08],)	503	2504.806138294125	1135.8096560027286	-14797.512791835989	9	9.292	14	8	(0.11076487817800706,0.12616880909079448,0.05204652283248904,)
70	932010907200017	51047	3	(489:228[0.3000000000000001],523:239[0.2700000000000001],552:36[0.07],)	503	2504.806138294125	1098.12820669646	-14691.080601007048	9	9.562	14	8	(0.0892335502705986,0.10089599596207441,0.05598912449658368,)
71	933545298249936	51547	3	(489:255[0.2900000000000001],523:66[0.26000000000000006],552:182[0.08],)	503	2504.806138294125	1350.878792689406	-14686.082492641304	9	9.438	14	8	(0.11049254274657166,0.10507135874507276,0.04790889915602027,)
72	935084213082985	52047	3	(489:41[0.2800000000000001],523:440[0.2700000000000001],552:22[0.07],)	503	2504.806138294125	1294.204728621202	-14688.80156137095	9	9.462	14	8	(0.09938353221440184,0.0987482288454482,0.05390616470845621,)
